Energy	ln(density of states)
-15156	382.998155	3931.738324
-15152	384.009584	3931.222772
-15148	385.048723	3930.617662
-15144	386.132280	3930.105066
-15140	387.126909	3929.533193
-15136	388.159776	3928.979483
-15132	389.216798	3928.418990
-15128	390.261903	3927.901202
-15124	391.266511	3927.262157
-15120	392.323152	3926.798708
-15116	393.334154	3926.169162
-15112	394.372819	3925.688252
-15108	395.442522	3925.081677
-15104	396.426790	3924.570824
-15100	397.487825	3924.021608
-15096	398.527345	3923.471465
-15092	399.564546	3922.873560
-15088	400.612443	3922.393305
-15084	401.578691	3921.884680
-15080	402.640474	3921.282521
-15076	403.719301	3920.721816
-15072	404.686037	3920.167155
-15068	405.682069	3919.637136
-15064	406.749895	3919.046048
-15060	407.770860	3918.582872
-15056	408.754762	3918.014445
-15052	409.801698	3917.459109
-15048	410.844377	3916.824595
-15044	411.849489	3916.320768
-15040	412.853380	3915.768698
-15036	413.876588	3915.223166
-15032	414.912996	3914.618272
-15028	415.895296	3914.120754
-15024	416.907609	3913.532933
-15020	417.942964	3912.979285
-15016	418.976015	3912.410394
-15012	419.992296	3911.907131
-15008	420.997835	3911.272593
-15004	422.047929	3910.676737
-15000	423.059694	3910.180573
-14996	424.082628	3909.606181
-14992	425.095781	3909.010697
-14988	426.074892	3908.424206
-14984	427.126695	3907.986178
-14980	428.121889	3907.356494
-14976	429.121522	3906.807761
-14972	430.114778	3906.240649
-14968	431.120027	3905.692125
-14964	432.130678	3905.159074
-14960	433.173341	3904.539526
-14956	434.128068	3904.030357
-14952	435.168779	3903.423839
-14948	436.180223	3902.892996
-14944	437.161485	3902.343727
-14940	438.183717	3901.777433
-14936	439.209245	3901.199344
-14932	440.205446	3900.659434
-14928	441.203126	3900.101877
-14924	442.190889	3899.570947
-14920	443.250963	3898.987958
-14916	444.224367	3898.417639
-14912	445.210771	3897.831260
-14908	446.210039	3897.345927
-14904	447.229829	3896.753391
-14900	448.206728	3896.160694
-14896	449.221239	3895.614169
-14892	450.261232	3895.023898
-14888	451.212327	3894.529348
-14884	452.215471	3893.932159
-14880	453.215196	3893.368712
-14876	454.239381	3892.784613
-14872	455.178010	3892.287006
-14868	456.230608	3891.631272
-14864	457.208162	3891.087792
-14860	458.227586	3890.539270
-14856	459.189348	3890.003233
-14852	460.192537	3889.427315
-14848	461.188631	3888.903324
-14844	462.172502	3888.298981
-14840	463.168016	3887.741750
-14836	464.156862	3887.213042
-14832	465.165697	3886.621064
-14828	466.126237	3886.036013
-14824	467.114763	3885.502153
-14820	468.108018	3884.915628
-14816	469.101411	3884.313254
-14812	470.083894	3883.684340
-14808	471.094453	3883.224712
-14804	472.075136	3882.534858
-14800	473.037004	3882.053290
-14796	474.028505	3881.510553
-14792	475.048128	3880.983896
-14788	476.007219	3880.343261
-14784	476.986024	3879.752218
-14780	477.986467	3879.218395
-14776	478.949327	3878.679604
-14772	479.974046	3878.091052
-14768	480.911500	3877.530646
-14764	481.923723	3876.960020
-14760	482.870073	3876.376556
-14756	483.871934	3875.793509
-14752	484.818758	3875.242948
-14748	485.830507	3874.670434
-14744	486.749269	3874.074889
-14740	487.780092	3873.540101
-14736	488.727296	3873.037307
-14732	489.717988	3872.409693
-14728	490.690767	3871.816987
-14724	491.703248	3871.238945
-14720	492.636003	3870.725169
-14716	493.630815	3870.140882
-14712	494.611497	3869.526771
-14708	495.587785	3868.923161
-14704	496.581819	3868.439680
-14700	497.537706	3867.800799
-14696	498.518831	3867.226779
-14692	499.457353	3866.723430
-14688	500.468690	3866.134504
-14684	501.435441	3865.541504
-14680	502.396074	3865.010114
-14676	503.344820	3864.375088
-14672	504.339876	3863.824575
-14668	505.307970	3863.252445
-14664	506.255342	3862.654686
-14660	507.228761	3862.159299
-14656	508.205446	3861.548971
-14652	509.163255	3861.003300
-14648	510.127046	3860.380961
-14644	511.111925	3859.861127
-14640	512.039735	3859.370240
-14636	513.042055	3858.737535
-14632	513.970140	3858.171118
-14628	514.948518	3857.612485
-14624	515.896028	3857.065469
-14620	516.885957	3856.475966
-14616	517.820741	3855.933053
-14612	518.821199	3855.370413
-14608	519.750459	3854.722125
-14604	520.726350	3854.245151
-14600	521.697725	3853.675668
-14596	522.670106	3853.083981
-14592	523.621141	3852.571717
-14588	524.577043	3852.042687
-14584	525.575731	3851.361072
-14580	526.520448	3850.831658
-14576	527.458391	3850.281970
-14572	528.442766	3849.718729
